index,subject,conn_type,fc_measure,cond_type
0,0,Cont,0.6262566846403924,perception
1,0,DMN,0.5365021805660952,perception
2,0,RSC,0.9685343318703937,perception
3,1,Cont,0.5610842960599405,perception
4,1,DMN,0.4166734864883387,perception
5,1,RSC,0.9029612215712686,perception
6,2,Cont,0.6596269853003145,perception
7,2,DMN,0.6617518386489476,perception
8,2,RSC,1.0627512071858611,perception
9,3,Cont,0.5414814667141735,perception
10,3,DMN,0.4540737678387151,perception
11,3,RSC,0.9216126177192882,perception
12,4,Cont,0.6411377745355873,perception
13,4,DMN,0.47609653040301425,perception
14,4,RSC,0.8715391937801173,perception
15,5,Cont,0.6253833018443294,perception
16,5,DMN,0.5840985105235543,perception
17,5,RSC,1.0596093246463125,perception
18,6,Cont,0.5667347054889814,perception
19,6,DMN,0.3784056635974854,perception
20,6,RSC,0.9687889601909245,perception
21,7,Cont,0.6166134525584384,perception
22,7,DMN,0.4574342949618479,perception
23,7,RSC,1.0032515724238726,perception
24,8,Cont,0.4156017262705594,perception
25,8,DMN,0.3720283343958445,perception
26,8,RSC,0.8915253039194987,perception
27,9,Cont,0.478562419111204,perception
28,9,DMN,0.3211910891849107,perception
29,9,RSC,0.7143333313689713,perception
30,10,Cont,0.48673277811785176,perception
31,10,DMN,0.3199161408726754,perception
32,10,RSC,0.7682779619048634,perception
33,11,Cont,0.6177779632163445,perception
34,11,DMN,0.5870510264096191,perception
35,11,RSC,1.1020089350839128,perception
36,12,Cont,0.44828672383456214,perception
37,12,DMN,0.3442471875816937,perception
38,12,RSC,0.8709980353798132,perception
39,13,Cont,0.47797083013621544,perception
40,13,DMN,0.33195649417087647,perception
41,13,RSC,0.8302285762664272,perception
42,14,Cont,0.6067371184796461,perception
43,14,DMN,0.42323088312928403,perception
44,14,RSC,0.6237639598666825,perception
45,15,Cont,0.5883830450141045,perception
46,15,DMN,0.46482728999027917,perception
47,15,RSC,0.9280546872622848,perception
48,16,Cont,0.4670635994522506,perception
49,16,DMN,0.38974812536340186,perception
50,16,RSC,0.7614965553424868,perception
51,17,Cont,0.550534446106882,perception
52,17,DMN,0.4153700022092869,perception
53,17,RSC,0.7902278814817429,perception
54,18,Cont,0.566064466768801,perception
55,18,DMN,0.5238217952447181,perception
56,18,RSC,0.945507538994421,perception
57,19,Cont,0.5292872733126148,perception
58,19,DMN,0.3375195417274896,perception
59,19,RSC,0.6668557615301606,perception
60,20,Cont,0.5010902859960228,perception
61,20,DMN,0.33433193794580773,perception
62,20,RSC,0.8032533199068512,perception
63,21,Cont,0.45821776210237564,perception
64,21,DMN,0.3992391905982358,perception
65,21,RSC,0.7919121950989205,perception
66,22,Cont,0.6001520386078849,perception
67,22,DMN,0.5864594132084691,perception
68,22,RSC,0.9755420312180352,perception
69,23,Cont,0.4512625284082993,perception
70,23,DMN,0.4429512061809649,perception
71,23,RSC,0.9827331760483776,perception
0,0,DMN,0.6057967418504069,retrieval
1,1,DMN,0.40707411962442996,retrieval
2,2,DMN,0.5381456358005465,retrieval
3,3,DMN,0.505084066278467,retrieval
4,4,DMN,0.5551874750724421,retrieval
5,5,DMN,0.5885261665616879,retrieval
6,6,DMN,0.24639175859845308,retrieval
7,7,DMN,0.46646108327787744,retrieval
8,8,DMN,0.41577577172031804,retrieval
9,9,DMN,0.36514658609647604,retrieval
10,10,DMN,0.47051450524065935,retrieval
11,11,DMN,0.4929817234630827,retrieval
12,12,DMN,0.4207560610728586,retrieval
13,13,DMN,0.36902673376655326,retrieval
14,14,DMN,0.6161602063748246,retrieval
15,15,DMN,0.5142119484697347,retrieval
16,16,DMN,0.40489127487487914,retrieval
17,17,DMN,0.4927796439287239,retrieval
18,18,DMN,0.5437277629328199,retrieval
19,19,DMN,0.3482883703730528,retrieval
20,20,DMN,0.4818499536297485,retrieval
21,21,DMN,0.3838614034495296,retrieval
22,22,DMN,0.5433422387798499,retrieval
23,23,DMN,0.5016057006742449,retrieval
24,0,Cont,0.653982102952576,retrieval
25,1,Cont,0.5337960970019145,retrieval
26,2,Cont,0.527040594531913,retrieval
27,3,Cont,0.6063496563960054,retrieval
28,4,Cont,0.6477480710259845,retrieval
29,5,Cont,0.48847301461469456,retrieval
30,6,Cont,0.39800478304190806,retrieval
31,7,Cont,0.5759486008161735,retrieval
32,8,Cont,0.3512011629138391,retrieval
33,9,Cont,0.4576594505129645,retrieval
34,10,Cont,0.4990762997261843,retrieval
35,11,Cont,0.5349800459273363,retrieval
36,12,Cont,0.4613094318741243,retrieval
37,13,Cont,0.3821389047743424,retrieval
38,14,Cont,0.7079893990745537,retrieval
39,15,Cont,0.5726572137878648,retrieval
40,16,Cont,0.5262301670924747,retrieval
41,17,Cont,0.5582144409196295,retrieval
42,18,Cont,0.4841521646008462,retrieval
43,19,Cont,0.4792278901403017,retrieval
44,20,Cont,0.47843547388077434,retrieval
45,21,Cont,0.49838882765121867,retrieval
46,22,Cont,0.42757052162466214,retrieval
47,23,Cont,0.42380529177658505,retrieval
48,0,RSC,0.9605520206063665,retrieval
49,1,RSC,0.8643986058226201,retrieval
50,2,RSC,0.9335922280155039,retrieval
51,3,RSC,0.8756767515989644,retrieval
52,4,RSC,0.805694189353819,retrieval
53,5,RSC,0.8682617233247615,retrieval
54,6,RSC,0.7649161796412459,retrieval
55,7,RSC,1.065695935365232,retrieval
56,8,RSC,0.7235380217949278,retrieval
57,9,RSC,0.6384326580859679,retrieval
58,10,RSC,0.7628759490492232,retrieval
59,11,RSC,1.0360269133690057,retrieval
60,12,RSC,0.9215408121764337,retrieval
61,13,RSC,0.818993095382483,retrieval
62,14,RSC,0.6875432129537689,retrieval
63,15,RSC,0.9243769453525212,retrieval
64,16,RSC,0.6965999442023257,retrieval
65,17,RSC,0.8329734620230352,retrieval
66,18,RSC,0.7874732159885474,retrieval
67,19,RSC,0.6359244503261924,retrieval
68,20,RSC,0.7446370990130626,retrieval
69,21,RSC,0.8386218035193237,retrieval
70,22,RSC,0.6059946997122777,retrieval
71,23,RSC,0.9465201453797694,retrieval
