index,subject,conn_type,fc_measure,cond_type
0,0,rsc_act,0.42895838558859195,perception
1,0,rsc_deact,0.5487046441747947,perception
2,1,rsc_act,0.24099457971355612,perception
3,1,rsc_deact,0.2716091507350845,perception
4,2,rsc_act,0.4915733536781428,perception
5,2,rsc_deact,0.635562742821445,perception
6,3,rsc_act,0.4198286980189303,perception
7,3,rsc_deact,0.4878802420435677,perception
8,4,rsc_act,0.29552010283651137,perception
9,4,rsc_deact,0.3732282447034683,perception
10,5,rsc_act,0.4569181158754193,perception
11,5,rsc_deact,0.5336711649929023,perception
12,6,rsc_act,0.44747871333701783,perception
13,6,rsc_deact,0.4584722547620167,perception
14,7,rsc_act,0.28146002103114165,perception
15,7,rsc_deact,0.45140471819791633,perception
16,8,rsc_act,0.14872603980813184,perception
17,8,rsc_deact,0.3789958627933057,perception
18,9,rsc_act,0.13382949755447704,perception
19,9,rsc_deact,0.24697940334616644,perception
20,10,rsc_act,0.27756232135060854,perception
21,10,rsc_deact,0.2394327523932171,perception
22,11,rsc_act,0.47405476543663516,perception
23,11,rsc_deact,0.49440061622063297,perception
24,12,rsc_act,0.2037864992027035,perception
25,12,rsc_deact,0.2394884938819718,perception
26,13,rsc_act,0.26425054329598896,perception
27,13,rsc_deact,0.23947315574464625,perception
28,14,rsc_act,0.35939690728958706,perception
29,14,rsc_deact,0.40879191409040694,perception
30,15,rsc_act,0.32495860157639544,perception
31,15,rsc_deact,0.37973095486164565,perception
32,16,rsc_act,0.29723283862586364,perception
33,16,rsc_deact,0.27516306850057964,perception
34,17,rsc_act,0.12913708755789172,perception
35,17,rsc_deact,0.22732301651689615,perception
36,18,rsc_act,0.4630244407218696,perception
37,18,rsc_deact,0.4358542621618411,perception
38,19,rsc_act,0.2541919569538915,perception
39,19,rsc_deact,0.2795150678206614,perception
40,20,rsc_act,0.08638710499724381,perception
41,20,rsc_deact,0.2077862668020386,perception
42,21,rsc_act,0.2780963287899171,perception
43,21,rsc_deact,0.33268369227186323,perception
44,22,rsc_act,0.39373630200164894,perception
45,22,rsc_deact,0.5129895792566781,perception
46,23,rsc_act,0.44833666528394345,perception
47,23,rsc_deact,0.4511896656404719,perception
0,0,rsc_act,0.5110441890286147,retrieval
1,1,rsc_act,0.2767187029777874,retrieval
2,2,rsc_act,0.4268825958973212,retrieval
3,3,rsc_act,0.5591033345255677,retrieval
4,4,rsc_act,0.3734722959308649,retrieval
5,5,rsc_act,0.4225995719842754,retrieval
6,6,rsc_act,0.3107631349942347,retrieval
7,7,rsc_act,0.3264342849320397,retrieval
8,8,rsc_act,0.24400440821543454,retrieval
9,9,rsc_act,0.18638739848918057,retrieval
10,10,rsc_act,0.28985924225186516,retrieval
11,11,rsc_act,0.4214162099521398,retrieval
12,12,rsc_act,0.33573883538630483,retrieval
13,13,rsc_act,0.2969713189822086,retrieval
14,14,rsc_act,0.4854631592754994,retrieval
15,15,rsc_act,0.3878868650524111,retrieval
16,16,rsc_act,0.42821339819243265,retrieval
17,17,rsc_act,0.3675596831388768,retrieval
18,18,rsc_act,0.37638883062092543,retrieval
19,19,rsc_act,0.3235633204717038,retrieval
20,20,rsc_act,0.28710711278184975,retrieval
21,21,rsc_act,0.34446220914035736,retrieval
22,22,rsc_act,0.28678196455985966,retrieval
23,23,rsc_act,0.4213477715499578,retrieval
24,0,rsc_deact,0.5127224511512086,retrieval
25,1,rsc_deact,0.16808802167141512,retrieval
26,2,rsc_deact,0.3274470507824697,retrieval
27,3,rsc_deact,0.46591324951114615,retrieval
28,4,rsc_deact,0.2288871550827552,retrieval
29,5,rsc_deact,0.4088235119644625,retrieval
30,6,rsc_deact,0.27153079587421636,retrieval
31,7,rsc_deact,0.3636587936778866,retrieval
32,8,rsc_deact,0.27527857636355546,retrieval
33,9,rsc_deact,0.25735067769082665,retrieval
34,10,rsc_deact,0.12975351245666186,retrieval
35,11,rsc_deact,0.28381135168151467,retrieval
36,12,rsc_deact,0.23894643862318335,retrieval
37,13,rsc_deact,0.1394171755741229,retrieval
38,14,rsc_deact,0.4064091811921373,retrieval
39,15,rsc_deact,0.3957840262166851,retrieval
40,16,rsc_deact,0.22246485487934176,retrieval
41,17,rsc_deact,0.26630832296048246,retrieval
42,18,rsc_deact,0.28641706820292845,retrieval
43,19,rsc_deact,0.2551001150148923,retrieval
44,20,rsc_deact,0.1561382407343491,retrieval
45,21,rsc_deact,0.2555300692599629,retrieval
46,22,rsc_deact,0.30594267406249537,retrieval
47,23,rsc_deact,0.39868867206876807,retrieval
