,subject_id,epoch_conf,top_n_mask,condition
0,8,-1.22778776,top_100,retper
1,8,-4.69568809,top_100,retper
2,8,-3.65244375,top_100,retper
3,8,-1.52782584,top_100,retper
4,8,-2.97996528,top_100,retper
5,8,-2.62862949,top_100,retper
6,8,2.67493912,top_100,retper
7,8,-3.95049527,top_100,retper
8,8,1.16628743,top_100,retper
9,8,-1.35036371,top_100,retper
10,8,-4.93188965,top_100,retper
11,8,-2.0569477,top_100,retper
12,8,0.58645843,top_100,retper
13,8,-2.1080664,top_100,retper
14,8,0.87547333,top_100,retper
15,8,-0.02826869,top_100,retper
16,8,-2.197298,top_100,retper
17,8,4.53984041,top_100,retper
18,8,0.12326722,top_100,retper
19,8,-0.02512749,top_100,retper
20,8,-0.01731581,top_100,retper
21,8,-0.17619978,top_100,retper
22,8,2.90340347,top_100,retper
23,8,2.6051547,top_100,retper
24,8,0.82148827,top_100,retper
25,8,2.61717891,top_100,retper
26,8,0.50289893,top_100,retper
27,8,5.54671484,top_100,retper
28,8,-1.43265034,top_100,retper
29,8,2.73589503,top_100,retper
30,8,4.25494792,top_100,retper
31,8,4.10130864,top_100,retper
32,12,-4.13700805,top_100,retper
33,12,-0.78798247,top_100,retper
34,12,-2.62010054,top_100,retper
35,12,-4.56662907,top_100,retper
36,12,-1.77545072,top_100,retper
37,12,-5.84947517,top_100,retper
38,12,-3.33949811,top_100,retper
39,12,-2.92240515,top_100,retper
40,12,-2.30495103,top_100,retper
41,12,-0.30711382,top_100,retper
42,12,-2.03029473,top_100,retper
43,12,-1.21221444,top_100,retper
44,12,-0.86502253,top_100,retper
45,12,2.08562698,top_100,retper
46,12,-1.23753158,top_100,retper
47,12,0.70828606,top_100,retper
48,12,2.35958003,top_100,retper
49,12,0.1776352,top_100,retper
50,12,4.32253079,top_100,retper
51,12,0.28572015,top_100,retper
52,12,1.85892381,top_100,retper
53,12,2.47381227,top_100,retper
54,12,4.68446271,top_100,retper
55,12,2.15827147,top_100,retper
56,12,-0.87260096,top_100,retper
57,12,2.63163514,top_100,retper
58,12,1.76786932,top_100,retper
59,12,2.41143699,top_100,retper
60,12,1.02610357,top_100,retper
61,12,1.57906893,top_100,retper
62,12,1.9269311,top_100,retper
63,12,2.33915782,top_100,retper
64,14,-2.10996123,top_100,retper
65,14,1.20293762,top_100,retper
66,14,-1.92211484,top_100,retper
67,14,-0.35035871,top_100,retper
68,14,-2.95857589,top_100,retper
69,14,-1.71658532,top_100,retper
70,14,-2.10472126,top_100,retper
71,14,-2.88088382,top_100,retper
72,14,-1.4002066,top_100,retper
73,14,1.01617586,top_100,retper
74,14,-1.33428986,top_100,retper
75,14,-1.7329007,top_100,retper
76,14,-4.62368384,top_100,retper
77,14,1.22694788,top_100,retper
78,14,-1.1331995,top_100,retper
79,14,-0.970988,top_100,retper
80,14,2.00265011,top_100,retper
81,14,5.08250488,top_100,retper
82,14,-1.06729309,top_100,retper
83,14,1.90746223,top_100,retper
84,14,0.17543347,top_100,retper
85,14,-1.67222108,top_100,retper
86,14,2.96699582,top_100,retper
87,14,1.18178752,top_100,retper
88,14,1.78310984,top_100,retper
89,14,1.15290234,top_100,retper
90,14,-0.05744613,top_100,retper
91,14,0.0207228,top_100,retper
