index,sub_id,mask_size,condition,auc
0,1,top_100,retper,0.78125
1,2,top_100,retper,0.67578125
2,3,top_100,retper,0.6796875
3,4,top_100,retper,0.4296875
4,5,top_100,retper,0.7109375
5,6,top_100,retper,0.890625
6,7,top_100,retper,0.68359375
7,8,top_100,retper,0.58984375
8,9,top_100,retper,0.48046875
9,10,top_100,retper,0.61328125
10,11,top_100,retper,0.76953125
11,12,top_100,retper,0.79296875
12,13,top_100,retper,0.66015625
13,14,top_100,retper,0.8359375
14,15,top_100,retper,0.78515625
15,16,top_100,retper,0.921875
16,17,top_100,retper,0.75
17,18,top_100,retper,0.70703125
18,19,top_100,retper,0.66796875
19,20,top_100,retper,0.62109375
20,21,top_100,retper,0.97265625
21,22,top_100,retper,0.66015625
22,23,top_100,retper,0.68359375
23,24,top_100,retper,0.6328125
24,1,top_100,scrret,0.4296875
25,2,top_100,scrret,0.5703125
26,3,top_100,scrret,0.6875
27,4,top_100,scrret,0.6640625
28,5,top_100,scrret,0.61328125
29,6,top_100,scrret,0.82421875
30,7,top_100,scrret,0.796875
31,8,top_100,scrret,0.453125
32,9,top_100,scrret,0.69140625
33,10,top_100,scrret,0.4609375
34,11,top_100,scrret,0.59765625
35,12,top_100,scrret,0.8046875
36,13,top_100,scrret,0.5390625
37,14,top_100,scrret,0.60546875
38,15,top_100,scrret,0.55859375
39,16,top_100,scrret,0.80078125
40,17,top_100,scrret,0.63671875
41,18,top_100,scrret,0.70703125
42,19,top_100,scrret,0.76171875
43,20,top_100,scrret,0.71484375
44,21,top_100,scrret,0.84375
45,22,top_100,scrret,0.7421875
46,23,top_100,scrret,0.5625
47,24,top_100,scrret,0.65625
48,1,top_100,scrper,0.5234375
49,2,top_100,scrper,0.7578125
50,3,top_100,scrper,0.75390625
51,4,top_100,scrper,0.6640625
52,5,top_100,scrper,0.66015625
53,6,top_100,scrper,0.62890625
54,7,top_100,scrper,0.5703125
55,8,top_100,scrper,0.546875
56,9,top_100,scrper,0.51171875
57,10,top_100,scrper,0.51953125
58,11,top_100,scrper,0.6484375
59,12,top_100,scrper,0.75390625
60,13,top_100,scrper,0.5078125
61,14,top_100,scrper,0.75390625
62,15,top_100,scrper,0.5859375
63,16,top_100,scrper,0.57421875
64,17,top_100,scrper,0.56640625
65,18,top_100,scrper,0.6875
66,19,top_100,scrper,0.30078125
67,20,top_100,scrper,0.69921875
68,21,top_100,scrper,0.59765625
69,22,top_100,scrper,0.54296875
70,23,top_100,scrper,0.58984375
71,24,top_100,scrper,0.65234375
0,1,top_1000,retper,0.8046875
1,2,top_1000,retper,0.81640625
2,3,top_1000,retper,0.90234375
3,4,top_1000,retper,0.75
4,5,top_1000,retper,0.8671875
5,6,top_1000,retper,0.9609375
6,7,top_1000,retper,0.69921875
7,8,top_1000,retper,0.8046875
8,9,top_1000,retper,0.83203125
9,10,top_1000,retper,0.85546875
10,11,top_1000,retper,0.90234375
11,12,top_1000,retper,0.76171875
12,13,top_1000,retper,0.8203125
13,14,top_1000,retper,0.88671875
14,15,top_1000,retper,0.87890625
15,16,top_1000,retper,0.83203125
16,17,top_1000,retper,0.7890625
17,18,top_1000,retper,0.8125
18,19,top_1000,retper,0.890625
19,20,top_1000,retper,0.80078125
20,21,top_1000,retper,0.97265625
21,22,top_1000,retper,0.74609375
22,23,top_1000,retper,0.8828125
23,24,top_1000,retper,0.80078125
24,1,top_1000,scrret,0.7265625
25,2,top_1000,scrret,0.70703125
26,3,top_1000,scrret,0.88671875
27,4,top_1000,scrret,0.8203125
28,5,top_1000,scrret,0.6484375
29,6,top_1000,scrret,0.87890625
30,7,top_1000,scrret,0.75390625
31,8,top_1000,scrret,0.796875
32,9,top_1000,scrret,0.83984375
33,10,top_1000,scrret,0.67578125
34,11,top_1000,scrret,0.79296875
35,12,top_1000,scrret,0.93359375
36,13,top_1000,scrret,0.7890625
37,14,top_1000,scrret,0.85546875
38,15,top_1000,scrret,0.80078125
39,16,top_1000,scrret,0.74609375
40,17,top_1000,scrret,0.7890625
