#Volume  CM LR  CM PA  CM IS  minLR  maxLR  minPA  maxPA  minIS  maxIS    Mean     SEM    Max Int  MI LR  MI PA  MI IS
#------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -------  -------  -------  -----  -----  -----
    620   -0.6   48.9    3.0  -15.7   14.6   19.1   67.1  -11.0   24.0   5.0145   0.0424   9.1354   -0.5   44.3   -1.0 
    519   54.7  -42.6   39.6   39.9   67.7  -69.3  -16.3    1.5   64.0   4.5945   0.0321   8.0306   60.1  -26.4   49.0 
    400   -9.1  -62.6   23.9  -23.2    4.5  -82.0  -41.6    6.5   41.5   4.8632    0.042   7.8805  -18.2  -69.3   24.0 
    377  -31.8  -63.3   41.8  -46.0  -23.2  -84.5  -41.6   21.5   64.0   4.7663   0.0421   8.2977  -33.3  -59.2   41.5 
    364   31.7  -65.5   40.3   22.2   42.4  -87.0  -31.5   16.5   66.5   4.6725   0.0392   7.0853   29.8  -66.8   36.5 
    308    1.8  -50.5   42.5  -10.6   14.6  -64.3  -41.6   19.0   61.5   4.6518   0.0406   7.4746  -10.6  -54.2   44.0 
    117  -61.6  -54.0   16.2  -68.7  -53.6  -64.3  -41.6    6.5   29.0   4.3306    0.047   5.9631  -66.2  -51.7    9.0 
    116   51.6   12.5   26.8   45.0   57.6    6.4   19.1   14.0   39.0   4.6251   0.0645   6.4338   52.5    9.0   19.0 
    116  -45.3    8.2   30.7  -58.6  -33.3   -3.7   19.1   19.0   44.0   4.6723   0.0769   7.3036  -53.6   16.5   31.5 
    107    6.9  -24.3   43.6   -5.6   17.2  -34.0  -13.8   39.0   49.0   4.8627   0.0772   7.3742    2.0  -18.8   44.0 
    103   15.6  -58.1   20.3    7.1   24.7  -66.8  -49.1   11.5   31.5   4.6046   0.0686   7.0643   14.6  -54.2   14.0 
     82   -2.7   14.5   51.9  -10.6    2.0    6.4   29.2   44.0   61.5    4.682    0.083   7.2724   -3.0   16.5   51.5 
     64  -47.0   29.3   22.3  -53.6  -38.4   24.1   34.2   14.0   29.0   4.4742   0.0753   6.2349  -48.5   29.2   24.0 
     58   62.7  -16.9   -9.4   52.5   67.7  -23.9  -11.3  -16.0   -1.0    4.492   0.0922   6.2996   62.6  -16.3  -11.0 
     52  -62.1  -48.6   40.5  -66.2  -58.6  -56.7  -39.0   31.5   46.5   4.7149   0.1086   6.9956  -61.1  -49.1   44.0 
     49   47.6  -59.1  -14.3   34.9   55.1  -64.3  -54.2  -18.5   -8.5   4.5404    0.089    5.831   55.1  -56.7  -13.5 
     46  -43.9  -58.6   26.3  -51.0  -40.9  -64.3  -54.2   19.0   31.5   4.5683   0.0875   5.8618  -40.9  -56.7   24.0 
     43   18.0   53.0   35.1   12.1   22.2   46.8   59.5   29.0   44.0   4.3537   0.0727   5.3304   19.7   49.4   39.0 
     41   47.9   43.6    8.4   39.9   52.5   39.3   49.4    4.0   14.0   4.3113   0.0862   6.3081   52.5   44.3    9.0 
     30   49.8   29.2   24.5   45.0   55.1   24.1   34.2   21.5   29.0    4.204   0.1013   6.1542   47.5   26.6   24.0 
     20   59.7  -32.3   -2.4   55.1   62.6  -36.5  -28.9   -6.0   -1.0   4.4946   0.0955    5.527   57.6  -34.0   -1.0 
     18  -47.9  -57.3  -11.2  -51.0  -43.5  -61.8  -54.2  -18.5   -8.5   4.2126   0.0993   4.8834  -48.5  -56.7  -11.0 
     14   56.9   12.8   -4.2   50.0   62.6    9.0   16.5   -6.0   -1.0   4.4598    0.206    6.098   60.1   16.5   -3.5 
     13   59.3  -54.6   -5.4   55.1   62.6  -56.7  -51.7   -8.5   -3.5   4.5841    0.149   5.4092   62.6  -54.2   -6.0 
     13   31.6  -86.7    5.5   29.8   34.9  -92.1  -82.0    4.0    6.5   4.6702   0.1708   5.7848   29.8  -87.0    4.0 
     13   -9.3  -35.6   48.4  -15.7   -5.6  -39.0  -31.5   46.5   49.0   4.1068   0.0889   4.9515   -8.1  -36.5   49.0 
     12  -42.8  -62.6   -7.3  -46.0  -40.9  -66.8  -59.2   -8.5   -3.5   4.0016   0.0787   4.6218  -40.9  -59.2   -8.5 
     11   -9.1  -21.3   39.4  -13.1   -5.6  -26.4  -18.8   36.5   41.5   4.5652    0.169   5.4137   -8.1  -18.8   39.0 
     11   31.0   33.5   40.9   27.3   32.3   31.7   36.7   39.0   44.0     4.39   0.1732    5.352   29.8   34.2   41.5 
     10   24.6  -90.6  -10.0   19.7   29.8  -92.1  -89.6  -11.0   -8.5    4.228   0.0912   4.7452   27.3  -92.1  -11.0 
     10   37.5   -3.4   13.7   34.9   39.9   -6.2   -1.1   11.5   16.5    4.272   0.0991   5.0011   34.9   -3.7   14.0 
     10   -1.7   45.5   19.7   -5.6    2.0   41.8   49.4   19.0   21.5   4.4529   0.1547   5.1283   -0.5   46.8   19.0 
      9   32.9  -44.6  -19.5   32.3   34.9  -46.6  -41.6  -23.5  -16.0   4.4167   0.2059   5.2721   32.3  -44.1  -21.0 
      9   53.5  -25.6   -7.7   50.0   57.6  -26.4  -23.9   -8.5   -6.0   4.5776   0.2144   5.7665   52.5  -23.9   -8.5 
      9   51.2  -22.2   37.5   47.5   55.1  -23.9  -21.4   36.5   39.0   4.2378   0.1293   4.8231   52.5  -23.9   36.5 
      9   37.4  -59.8   43.1   34.9   39.9  -61.8  -56.7   41.5   46.5   3.9269   0.0677   4.2314   37.4  -61.8   44.0 
      9    3.9   -5.3   43.5    2.0    7.1   -8.7   -3.7   41.5   46.5   4.2868   0.1713   4.9617    4.5   -3.7   44.0 
      9  -16.7  -73.5   52.9  -18.2  -13.1  -74.4  -71.9   49.0   56.5   4.3285   0.2224   5.9935  -15.7  -71.9   54.0 
      9  -57.2  -16.6   50.1  -58.6  -56.1  -18.8  -13.8   49.0   51.5   4.4154   0.1556   5.2073  -58.6  -16.3   51.5 
      9   14.0   29.2   57.9    9.6   17.2   26.6   31.7   56.5   59.0   4.4685   0.1666   5.3503   17.2   29.2   56.5 
      9   20.2  -41.3   68.2   19.7   22.2  -44.1  -39.0   66.5   71.5   3.9357   0.0896   4.6068   19.7  -41.6   69.0 
      8   63.5  -50.8   14.6   62.6   65.2  -54.2  -46.6   14.0   16.5    4.616   0.2433   5.7937   62.6  -49.1   14.0 
      8  -43.1  -68.2   45.3  -46.0  -40.9  -69.3  -64.3   44.0   46.5   4.1851    0.119   4.6264  -43.5  -69.3   44.0 
      8  -48.8  -29.6   54.4  -51.0  -46.0  -31.5  -26.4   51.5   56.5   4.2209   0.0833   4.7142  -48.5  -28.9   56.5 
      7   58.6  -37.2    5.0   57.6   60.1  -39.0  -34.0    4.0    6.5    4.263   0.1918   5.1067   57.6  -39.0    4.0 
      7  -33.3  -80.5   18.2  -33.3  -33.3  -82.0  -79.5   14.0   21.5   3.9518   0.0709   4.2734  -33.3  -82.0   16.5 
      7   51.2  -28.5   15.4   50.0   52.5  -31.5  -26.4   14.0   16.5   4.0397   0.1266   4.5374   52.5  -28.9   14.0 
      7   64.4  -48.0   20.5   62.6   65.2  -51.7  -46.6   16.5   21.5   4.2307   0.1432   4.7892   65.2  -49.1   21.5 
      7  -29.3  -89.9   26.4  -30.8  -28.3  -92.1  -89.6   24.0   31.5   4.2878   0.1928   5.2395  -28.3  -89.6   26.5 
      7   41.6   11.9   28.6   39.9   45.0   11.5   14.0   26.5   31.5   4.1369   0.1311    4.789   39.9   11.5   26.5 
      7  -26.9   52.6   28.9  -28.3  -25.8   51.9   54.4   26.5   31.5   4.3318   0.1512   4.7494  -28.3   51.9   29.0 
      7  -54.3  -60.3   30.8  -56.1  -53.6  -64.3  -56.7   29.0   34.0   3.8343   0.0465   4.0678  -56.1  -56.7   29.0 
      7   -7.4   17.3   33.6   -8.1   -5.6   14.0   19.1   31.5   36.5   4.1021   0.0953   4.5108   -8.1   19.1   34.0 
      7  -65.9  -35.8   37.2  -68.7  -63.7  -39.0  -34.0   36.5   39.0   4.0681   0.1549   4.6504  -66.2  -36.5   39.0 
      6  -40.5  -89.1   -3.5  -40.9  -38.4  -92.1  -87.0   -6.0   -1.0   4.2008   0.1214    4.525  -40.9  -89.6   -1.0 
      6   15.6  -76.0    8.6   12.1   17.2  -76.9  -74.4    6.5   11.5   4.1073   0.1932   5.0507   17.2  -74.4    9.0 
      6   65.9  -44.6   11.5   62.6   67.7  -46.6  -41.6   11.5   11.5   4.1305   0.1713   4.7749   65.2  -44.1   11.5 
      6    5.8  -90.0   21.9    4.5    7.1  -92.1  -87.0   19.0   24.0   4.2505    0.128   4.6799    4.5  -87.0   24.0 
      6   45.2    5.1   33.6   42.4   47.5    3.9    6.4   31.5   34.0    4.392   0.2062   4.9163   45.0    3.9   34.0 
      6   57.7  -14.9   39.0   55.1   60.1  -16.3  -13.8   39.0   39.0   4.4374   0.2109   5.0063   57.6  -13.8   39.0 
      6   51.7  -63.0   44.8   50.0   52.5  -66.8  -59.2   44.0   46.5   4.3177     0.21   5.2859   50.0  -64.3   44.0 
      6   31.1  -40.7   59.4   29.8   32.3  -44.1  -39.0   59.0   61.5   4.1172   0.1801   4.9033   32.3  -41.6   59.0 
#------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -------  -------  -------  -----  -----  -----
#  3990    6.5  -26.1   27.2                                             4.6791   0.0128                             
