sub_id,within_state_ps,between_state_ps,cluster,cluster_type,task_index
1,0.6348411858545987,0.6400991880826641,mPFC,DMN,-0.005258002228065384
1,0.5864832408311773,0.5946942600566216,r-IPL,DMN,-0.008211019225444316
1,0.7772395346599723,0.749799460197918,RSC1,RSC,0.02744007446205432
1,0.6855382693526383,0.6765951402704165,l-IPS,CONT,0.008943129082221835
1,0.7485459467191575,0.735418389059758,r-IPS,CONT,0.013127557659399547
1,0.7506744673468135,0.7191820602340127,PCUN,DMN,0.03149240711280088
1,0.7611343392295562,0.7578825057994645,l-IPL1,DMN,0.0032518334300917218
1,0.6479757450382759,0.6522015904440259,r-PFC,CONT,-0.004225845405749995
1,0.7580024729544144,0.7152341913759765,l-PFC1,CONT,0.04276828157843782
1,0.7566483511080394,0.7697909660480733,PCC,DMN,-0.013142614940033881
1,0.7361098387506289,0.7488349968161052,RSC2,RSC,-0.01272515806547636
1,0.8106335737993189,0.7967085179066776,SFG,CONT,0.013925055892641258
1,0.9187279948367957,0.9109840937339732,l-PFC2,CONT,0.007743901102822526
1,0.6772913359984358,0.6649365804592393,MTG,DMN,0.012354755539196516
1,0.7829811260873458,0.7455934414002825,l-IPL2,DMN,0.03738768468706333
1,0.6818615314389601,0.6688535621989623,r-ITG,CONT,0.013007969239997808
2,0.8008075110012556,0.7731367296636484,mPFC,DMN,0.027670781337607142
2,0.7490791395681076,0.7036632435332196,r-IPL,DMN,0.04541589603488794
2,0.7467070384415411,0.7028678491450622,RSC1,RSC,0.0438391892964789
2,0.7803876511863146,0.7729762546843489,l-IPS,CONT,0.00741139650196565
2,0.7888501408207245,0.7977935866742647,r-IPS,CONT,-0.008943445853540233
2,0.8370530834798984,0.8028367143234758,PCUN,DMN,0.034216369156422566
2,0.7395588704152871,0.7146540622665074,l-IPL1,DMN,0.02490480814877971
2,0.8261000308879217,0.8253023384958512,r-PFC,CONT,0.0007976923920705037
2,0.8664987030283817,0.8502078015819541,l-PFC1,CONT,0.01629090144642764
2,0.7421619950818807,0.7439976825624647,PCC,DMN,-0.0018356874805839363
2,0.8790252472944631,0.7775329178117771,RSC2,RSC,0.10149232948268594
2,0.724982807835679,0.6752926631281544,SFG,CONT,0.04969014470752464
2,0.89748081476558,0.885606395411848,l-PFC2,CONT,0.011874419353731902
2,0.7699880010176752,0.7361005191664647,MTG,DMN,0.03388748185121049
2,0.7648523977581629,0.730754435038679,l-IPL2,DMN,0.034097962719483954
2,0.695052312495539,0.728497518345036,r-ITG,CONT,-0.03344520584949695
3,0.7894716710145019,0.7656013817950016,mPFC,DMN,0.023870289219500296
3,0.7070767976431638,0.6530897799393585,r-IPL,DMN,0.05398701770380532
3,0.6402550039704739,0.5988649458332754,RSC1,RSC,0.04139005813719843
3,0.7293960672042488,0.697824811247157,l-IPS,CONT,0.03157125595709176
3,0.7210192995390114,0.7060608593739031,r-IPS,CONT,0.014958440165108389
3,0.6350603820169924,0.5750460111526317,PCUN,DMN,0.06001437086436079
3,0.6971403214928968,0.6805879022976047,l-IPL1,DMN,0.016552419195292156
3,0.7428457889102994,0.7385925698051642,r-PFC,CONT,0.004253219105135209
3,0.7667190105336215,0.7638863010462689,l-PFC1,CONT,0.0028327094873525915
3,0.6976278061453574,0.6225137713678657,PCC,DMN,0.07511403477749168
3,0.6981814019126571,0.6563681142255711,RSC2,RSC,0.04181328768708603
3,0.703542604317871,0.6790005342608879,SFG,CONT,0.024542070056983056
3,0.7304455645338779,0.6887582202916416,l-PFC2,CONT,0.0416873442422363
3,0.7196358049694698,0.6896614530020555,MTG,DMN,0.02997435196741427
3,0.7680303875903529,0.7329259955775209,l-IPL2,DMN,0.035104392012832
3,0.670731131407805,0.6480781218001936,r-ITG,CONT,0.022653009607611407
4,0.7195635907099531,0.6975559645324821,mPFC,DMN,0.022007626177470985
4,0.6855944227999343,0.6687235761016996,r-IPL,DMN,0.016870846698234687
4,0.7215610804307098,0.7177751377397279,RSC1,RSC,0.0037859426909818694
4,0.7386165919026576,0.7370977835354509,l-IPS,CONT,0.0015188083672067476
4,0.784751127763612,0.7943125850432455,r-IPS,CONT,-0.009561457279633534
4,0.7604892634131073,0.729559510576915,PCUN,DMN,0.03092975283619226
