sub_id,within_state_ps,between_state_ps,cluster,cluster_type,cogState_index
1,0.19383262258361972,0.16525079662806147,mPFC,DMN,0.02858182595555825
2,0.11877091236809365,0.07508778464813005,mPFC,DMN,0.04368312771996359
3,0.06470938739694908,0.05200171426740763,mPFC,DMN,0.01270767312954145
4,0.17892052536735498,0.13161883215897727,mPFC,DMN,0.04730169320837771
5,0.15769184407748305,0.03923014163687556,mPFC,DMN,0.11846170244060748
6,0.27905375245129466,0.19442645829669658,mPFC,DMN,0.08462729415459808
7,0.08461327811635871,0.17392721104074169,mPFC,DMN,-0.08931393292438297
8,0.3073260969940679,0.33701078806314233,mPFC,DMN,-0.029684691069074454
9,0.1241553093986868,0.12747034715389893,mPFC,DMN,-0.0033150377552121357
10,0.08671123142115628,0.07185747797993028,mPFC,DMN,0.014853753441225998
11,0.24355947576826528,0.14634770886159312,mPFC,DMN,0.09721176690667216
12,0.37324124043379164,0.2897796460917156,mPFC,DMN,0.08346159434207606
13,0.15769865782242126,0.20988978607579206,mPFC,DMN,-0.0521911282533708
14,0.38822158320311684,0.31511097462764515,mPFC,DMN,0.07311060857547169
15,0.1987913189674323,0.1474094549946387,mPFC,DMN,0.051381863972793596
16,0.10531219682382156,0.10887601215603496,mPFC,DMN,-0.0035638153322133936
17,0.4452263794858149,0.36336601183909273,mPFC,DMN,0.08186036764672217
18,0.28909484507432953,0.3411543765703258,mPFC,DMN,-0.05205953149599629
19,0.2973963540075364,0.2930111948536543,mPFC,DMN,0.004385159153882101
20,0.22569279859067523,0.17398718841144004,mPFC,DMN,0.051705610179235195
21,0.18168641748070266,0.19932112631172688,mPFC,DMN,-0.01763470883102422
22,0.1325602235002591,0.06724919172027266,mPFC,DMN,0.06531103177998643
23,0.2630509285443742,0.1726801511689327,mPFC,DMN,0.09037077737544147
24,0.2974311656280989,0.34845755939292133,mPFC,DMN,-0.05102639376482243
1,0.4059512921882288,0.3479079156850325,r-IPL,DMN,0.0580433765031963
2,0.26778284716364176,0.32022785880706817,r-IPL,DMN,-0.05244501164342641
3,0.36273048300592886,0.27479946334444944,r-IPL,DMN,0.08793101966147943
4,0.3450199413903158,0.312702357516515,r-IPL,DMN,0.03231758387380079
5,0.3747400411296778,0.43708432360948757,r-IPL,DMN,-0.062344282479809776
6,0.8300928842588311,0.7244213095479594,r-IPL,DMN,0.10567157471087174
7,0.3613428705218997,0.4426783648933104,r-IPL,DMN,-0.08133549437141074
8,0.4083368265643436,0.2778216571728622,r-IPL,DMN,0.1305151693914814
9,0.32707132297907326,0.33492697392813686,r-IPL,DMN,-0.007855650949063597
10,0.4159039189697564,0.415075117935342,r-IPL,DMN,0.0008288010344144059
11,0.16100436837235368,0.24375325115302413,r-IPL,DMN,-0.08274888278067044
12,0.5648616227600208,0.5526115074259501,r-IPL,DMN,0.012250115334070721
13,0.2930677901055622,0.1786017059781195,r-IPL,DMN,0.11446608412744272
14,0.4411045072167963,0.4484357282689893,r-IPL,DMN,-0.0073312210521930266
15,0.6400069991107173,0.31366946880484875,r-IPL,DMN,0.3263375303058686
16,0.33256608146568856,0.33951979721911135,r-IPL,DMN,-0.006953715753422796
17,0.6419096127513673,0.6073746003359327,r-IPL,DMN,0.03453501241543455
18,0.4737359831827421,0.36633753515882955,r-IPL,DMN,0.10739844802391257
19,0.4414253695215135,0.42504463896663275,r-IPL,DMN,0.016380730554880762
20,0.46156480122189686,0.28005131664168254,r-IPL,DMN,0.18151348458021432
21,0.2690052999691932,0.22237640349273996,r-IPL,DMN,0.04662889647645324
22,0.5365634760287437,0.3500089039347236,r-IPL,DMN,0.18655457209402004
23,0.46604146712288336,0.3721733716582253,r-IPL,DMN,0.09386809546465807
24,0.47509787575747214,0.46759521585897545,r-IPL,DMN,0.007502659898496689
1,0.4362758503880657,0.21585917058827647,RSC1,RSC,0.22041667979978924
2,0.3767073242411741,0.3566322714820196,RSC1,RSC,0.0200750527591545
