sub_id,within_state_ps,between_state_ps,cluster,cluster_type,task_index
1,0.16425820295053184,0.16246709556184644,mPFC,DMN,0.0017911073886854034
2,0.10896437909419181,0.07628241049920381,mPFC,DMN,0.032681968594987995
3,0.09119720085758803,0.03460468647139584,mPFC,DMN,0.05659251438619219
4,0.1411958398253561,0.1292584305701407,mPFC,DMN,0.011937409255215414
5,0.0836074732234715,0.08024589485416338,mPFC,DMN,0.0033615783693081297
6,0.21405965605577845,0.19864432123029482,mPFC,DMN,0.015415334825483629
7,0.1313436156836767,0.11691401366678483,mPFC,DMN,0.014429602016891863
8,0.3097097131556652,0.30520706786770657,mPFC,DMN,0.004502645287958629
9,0.14308820399259836,0.09555366593750153,mPFC,DMN,0.04753453805509683
10,0.05663274591149767,0.05373008332968901,mPFC,DMN,0.002902662581808657
11,0.14683907964743464,0.07389116746178873,mPFC,DMN,0.07294791218564592
12,0.3212923004559055,0.30722879104062234,mPFC,DMN,0.01406350941528317
13,0.18092974034050135,0.1437602828022076,mPFC,DMN,0.03716945753829376
14,0.3496456045291837,0.32892139849400676,mPFC,DMN,0.02072420603517694
15,0.17171185867594668,0.09063772909501464,mPFC,DMN,0.08107412958093205
16,0.11056802561496645,0.08563980248550451,mPFC,DMN,0.02492822312946194
17,0.3899329618357372,0.33974577801099237,mPFC,DMN,0.05018718382474485
18,0.32166321196385206,0.2834156771313081,mPFC,DMN,0.03824753483254395
19,0.2815974304975206,0.2430606989551395,mPFC,DMN,0.03853673154238113
20,0.19844202714099426,0.18617098965825163,mPFC,DMN,0.012271037482742636
21,0.16879436399179099,0.13125898961659405,mPFC,DMN,0.03753537437519694
22,0.07766973108217037,0.07831893259294535,mPFC,DMN,-0.0006492015107749799
23,0.19526034410355017,0.1809413045813877,mPFC,DMN,0.014319039522162458
24,0.33119917693338974,0.2623497862817587,mPFC,DMN,0.06884939065163104
1,0.3603282119327128,0.3477106171505474,r-IPL,DMN,0.012617594782165398
2,0.29740600353267876,0.3050044417795796,r-IPL,DMN,-0.007598438246900818
3,0.30714048159868235,0.28362517271365306,r-IPL,DMN,0.023515308885029285
4,0.3198774055344943,0.30952313152350536,r-IPL,DMN,0.010354274010988929
5,0.384126281171938,0.3876388314291185,r-IPL,DMN,-0.0035125502571805023
6,0.7586410627695372,0.7495371856993307,r-IPL,DMN,0.009103877070206545
